X,fever1,fever2,fever3,fever4,fever5,fever6,fever7,fever8,fever9,fever10,chill1,chill2,chill3,chill4,chill5,chill6,chill7,chill8,chill9,chill10,headache1,headache2,headache3,headache4,headache5,headache6,headache7,headache8,headache9,headache10,pneumonia1,pneumonia2,pneumonia3,pneumonia4,pneumonia5,pneumonia6,pneumonia7,pneumonia8,pneumonia9,pneumonia10,covid1,covid2,covid3,covid4,covid5,covid6,covid7,covid8,covid9,covid10,new cases per day
1,28,30,26,29,25,29,25,27,30,29,34,45,33,49,39,56,51,43,37,44,59,63,59,57,58,56,63,59,65,57,23,18,16,19,19,17,18,21,16,15,57,46,41,43,44,46,47,49,44,45,44323
2,28,28,30,26,29,25,29,25,27,30,42,34,45,33,49,39,56,51,43,37,60,59,63,59,57,58,56,63,59,65,22,23,18,16,19,19,17,18,21,16,50,57,46,41,43,44,46,47,49,44,40761
3,25,28,28,30,26,29,25,29,25,27,28,42,34,45,33,49,39,56,51,43,56,60,59,63,59,57,58,56,63,59,23,22,23,18,16,19,19,17,18,21,48,50,57,46,41,43,44,46,47,49,45424
4,26,25,28,28,30,26,29,25,29,25,35,28,42,34,45,33,49,39,56,51,54,56,60,59,63,59,57,58,56,63,21,23,22,23,18,16,19,19,17,18,48,48,50,57,46,41,43,44,46,47,51160
5,27,26,25,28,28,30,26,29,25,29,39,35,28,42,34,45,33,49,39,56,50,54,56,60,59,63,59,57,58,56,22,21,23,22,23,18,16,19,19,17,43,48,48,50,57,46,41,43,44,46,43296
6,29,27,26,25,28,28,30,26,29,25,43,39,35,28,42,34,45,33,49,39,62,50,54,56,60,59,63,59,57,58,22,22,21,23,22,23,18,16,19,19,40,43,48,48,50,57,46,41,43,44,34341
7,29,29,27,26,25,28,28,30,26,29,35,43,39,35,28,42,34,45,33,49,61,62,50,54,56,60,59,63,59,57,18,22,22,21,23,22,23,18,16,19,38,40,43,48,48,50,57,46,41,43,26218
8,26,29,29,27,26,25,28,28,30,26,36,35,43,39,35,28,42,34,45,33,61,61,62,50,54,56,60,59,63,59,18,18,22,22,21,23,22,23,18,16,40,38,40,43,48,48,50,57,46,41,24417
9,28,26,29,29,27,26,25,28,28,30,40,36,35,43,39,35,28,42,34,45,48,61,61,62,50,54,56,60,59,63,22,18,18,22,22,21,23,22,23,18,44,40,38,40,43,48,48,50,57,46,33699
10,29,28,26,29,29,27,26,25,28,28,34,40,36,35,43,39,35,28,42,34,54,48,61,61,62,50,54,56,60,59,26,22,18,18,22,22,21,23,22,23,46,44,40,38,40,43,48,48,50,57,38454
11,23,29,28,26,29,29,27,26,25,28,44,34,40,36,35,43,39,35,28,42,48,54,48,61,61,62,50,54,56,60,22,26,22,18,18,22,22,21,23,22,42,46,44,40,38,40,43,48,48,50,46391
12,27,23,29,28,26,29,29,27,26,25,32,44,34,40,36,35,43,39,35,28,56,48,54,48,61,61,62,50,54,56,28,22,26,22,18,18,22,22,21,23,41,42,46,44,40,38,40,43,48,48,41428
13,27,27,23,29,28,26,29,29,27,26,44,32,44,34,40,36,35,43,39,35,57,56,48,54,48,61,61,62,50,54,22,28,22,26,22,18,18,22,22,21,41,41,42,46,44,40,38,40,43,48,33006
14,30,27,27,23,29,28,26,29,29,27,47,44,32,44,34,40,36,35,43,39,58,57,56,48,54,48,61,61,62,50,22,22,28,22,26,22,18,18,22,22,38,41,41,42,46,44,40,38,40,43,34781
15,28,30,27,27,23,29,28,26,29,29,32,47,44,32,44,34,40,36,35,43,53,58,57,56,48,54,48,61,61,62,21,22,22,28,22,26,22,18,18,22,41,38,41,41,42,46,44,40,38,40,35132
16,28,28,30,27,27,23,29,28,26,29,38,32,47,44,32,44,34,40,36,35,51,53,58,57,56,48,54,48,61,61,25,21,22,22,28,22,26,22,18,18,41,41,38,41,41,42,46,44,40,38,43304
17,27,28,28,30,27,27,23,29,28,26,38,38,32,47,44,32,44,34,40,36,52,51,53,58,57,56,48,54,48,61,26,25,21,22,22,28,22,26,22,18,41,41,41,38,41,41,42,46,44,40,44035
18,29,27,28,28,30,27,27,23,29,28,29,38,38,32,47,44,32,44,34,40,55,52,51,53,58,57,56,48,54,48,26,26,25,21,22,22,28,22,26,22,41,41,41,41,38,41,41,42,46,44,49295
19,23,29,27,28,28,30,27,27,23,29,32,29,38,38,32,47,44,32,44,34,51,55,52,51,53,58,57,56,48,54,22,26,26,25,21,22,22,28,22,26,40,41,41,41,41,38,41,41,42,46,43221
20,26,23,29,27,28,28,30,27,27,23,35,32,29,38,38,32,47,44,32,44,63,51,55,52,51,53,58,57,56,48,16,22,26,26,25,21,22,22,28,22,36,40,41,41,41,41,38,41,41,42,35432
21,28,26,23,29,27,28,28,30,27,27,43,35,32,29,38,38,32,47,44,32,54,63,51,55,52,51,53,58,57,56,20,16,22,26,26,25,21,22,22,28,36,36,40,41,41,41,41,38,41,41,39463
22,29,28,26,23,29,27,28,28,30,27,30,43,35,32,29,38,38,32,47,44,52,54,63,51,55,52,51,53,58,57,24,20,16,22,26,26,25,21,22,22,42,36,36,40,41,41,41,41,38,41,48459
23,29,29,28,26,23,29,27,28,28,30,35,30,43,35,32,29,38,38,32,47,57,52,54,63,51,55,52,51,53,58,27,24,20,16,22,26,26,25,21,22,46,42,36,36,40,41,41,41,41,38,41686
24,29,29,29,28,26,23,29,27,28,28,47,35,30,43,35,32,29,38,38,32,48,57,52,54,63,51,55,52,51,53,26,27,24,20,16,22,26,26,25,21,44,46,42,36,36,40,41,41,41,41,45311
25,34,29,29,29,28,26,23,29,27,28,34,47,35,30,43,35,32,29,38,38,60,48,57,52,54,63,51,55,52,51,25,26,27,24,20,16,22,26,26,25,41,44,46,42,36,36,40,41,41,41,47159
26,28,34,29,29,29,28,26,23,29,27,41,34,47,35,30,43,35,32,29,38,52,60,48,57,52,54,63,51,55,52,22,25,26,27,24,20,16,22,26,26,41,41,44,46,42,36,36,40,41,41,49719
27,29,28,34,29,29,29,28,26,23,29,34,41,34,47,35,30,43,35,32,29,58,52,60,48,57,52,54,63,51,55,19,22,25,26,27,24,20,16,22,26,38,41,41,44,46,42,36,36,40,41,36558
28,29,29,28,34,29,29,29,28,26,23,54,34,41,34,47,35,30,43,35,32,60,58,52,60,48,57,52,54,63,51,21,19,22,25,26,27,24,20,16,22,37,38,41,41,44,46,42,36,36,40,36245
29,28,29,29,28,34,29,29,29,28,26,36,54,34,41,34,47,35,30,43,35,55,60,58,52,60,48,57,52,54,63,30,21,19,22,25,26,27,24,20,16,42,37,38,41,41,44,46,42,36,36,39098
30,26,28,29,29,28,34,29,29,29,28,39,36,54,34,41,34,47,35,30,43,51,55,60,58,52,60,48,57,52,54,24,30,21,19,22,25,26,27,24,20,44,42,37,38,41,41,44,46,42,36,46880
31,28,26,28,29,29,28,34,29,29,29,42,39,36,54,34,41,34,47,35,30,54,51,55,60,58,52,60,48,57,52,24,24,30,21,19,22,25,26,27,24,41,44,42,37,38,41,41,44,46,42,47769
32,28,28,26,28,29,29,28,34,29,29,47,42,39,36,54,34,41,34,47,35,60,54,51,55,60,58,52,60,48,57,28,24,24,30,21,19,22,25,26,27,41,41,44,42,37,38,41,41,44,46,50681
33,32,28,28,26,28,29,29,28,34,29,44,47,42,39,36,54,34,41,34,47,55,60,54,51,55,60,58,52,60,48,30,28,24,24,30,21,19,22,25,26,97,41,41,44,42,37,38,41,41,44,48157
34,33,32,28,28,26,28,29,29,28,34,50,44,47,42,39,36,54,34,41,34,64,55,60,54,51,55,60,58,52,60,26,30,28,24,24,30,21,19,22,25,71,97,41,41,44,42,37,38,41,41,36680
35,34,33,32,28,28,26,28,29,29,28,48,50,44,47,42,39,36,54,34,41,65,64,55,60,54,51,55,60,58,52,25,26,30,28,24,24,30,21,19,22,62,71,97,41,41,44,42,37,38,41,40839
36,32,34,33,32,28,28,26,28,29,29,43,48,50,44,47,42,39,36,54,34,59,65,64,55,60,54,51,55,60,58,33,25,26,30,28,24,24,30,21,19,66,62,71,97,41,41,44,42,37,38,40546
37,30,32,34,33,32,28,28,26,28,29,49,43,48,50,44,47,42,39,36,54,61,59,65,64,55,60,54,51,55,60,32,33,25,26,30,28,24,24,30,21,60,66,62,71,97,41,41,44,42,37,54674
38,31,30,32,34,33,32,28,28,26,28,41,49,43,48,50,44,47,42,39,36,66,61,59,65,64,55,60,54,51,55,35,32,33,25,26,30,28,24,24,30,56,60,66,62,71,97,41,41,44,42,56259
39,31,31,30,32,34,33,32,28,28,26,42,41,49,43,48,50,44,47,42,39,60,66,61,59,65,64,55,60,54,51,31,35,32,33,25,26,30,28,24,24,53,56,60,66,62,71,97,41,41,44,58838
40,30,31,31,30,32,34,33,32,28,28,45,42,41,49,43,48,50,44,47,42,65,60,66,61,59,65,64,55,60,54,28,31,35,32,33,25,26,30,28,24,49,53,56,60,66,62,71,97,41,41,51589
41,32,30,31,31,30,32,34,33,32,28,47,45,42,41,49,43,48,50,44,47,62,65,60,66,61,59,65,64,55,60,22,28,31,35,32,33,25,26,30,28,44,49,53,56,60,66,62,71,97,41,48512
42,29,32,30,31,31,30,32,34,33,32,37,47,45,42,41,49,43,48,50,44,51,62,65,60,66,61,59,65,64,55,19,22,28,31,35,32,33,25,26,30,42,44,49,53,56,60,66,62,71,97,46843
43,29,29,32,30,31,31,30,32,34,33,40,37,47,45,42,41,49,43,48,50,60,51,62,65,60,66,61,59,65,64,28,19,22,28,31,35,32,33,25,26,48,42,44,49,53,56,60,66,62,71,50569
44,30,29,29,32,30,31,31,30,32,34,56,40,37,47,45,42,41,49,43,48,55,60,51,62,65,60,66,61,59,65,32,28,19,22,28,31,35,32,33,25,49,48,42,44,49,53,56,60,66,62,57096
45,31,30,29,29,32,30,31,31,30,32,47,56,40,37,47,45,42,41,49,43,63,55,60,51,62,65,60,66,61,59,31,32,28,19,22,28,31,35,32,33,51,49,48,42,44,49,53,56,60,66,64439
46,30,31,30,29,29,32,30,31,31,30,45,47,56,40,37,47,45,42,41,49,60,63,55,60,51,62,65,60,66,61,30,31,32,28,19,22,28,31,35,32,51,51,49,48,42,44,49,53,56,60,68392
47,27,30,31,30,29,29,32,30,31,31,41,45,47,56,40,37,47,45,42,41,55,60,63,55,60,51,62,65,60,66,28,30,31,32,28,19,22,28,31,35,50,51,51,49,48,42,44,49,53,56,54997
48,30,27,30,31,30,29,29,32,30,31,35,41,45,47,56,40,37,47,45,42,57,55,60,63,55,60,51,62,65,60,26,28,30,31,32,28,19,22,28,31,44,50,51,51,49,48,42,44,49,53,49932
49,31,30,27,30,31,30,29,29,32,30,37,35,41,45,47,56,40,37,47,45,56,57,55,60,63,55,60,51,62,65,24,26,28,30,31,32,28,19,22,28,44,44,50,51,51,49,48,42,44,49,61734
50,28,31,30,27,30,31,30,29,29,32,43,37,35,41,45,47,56,40,37,47,63,56,57,55,60,63,55,60,51,62,33,24,26,28,30,31,32,28,19,22,52,44,44,50,51,51,49,48,42,44,58508
51,31,28,31,30,27,30,31,30,29,29,57,43,37,35,41,45,47,56,40,37,61,63,56,57,55,60,63,55,60,51,31,33,24,26,28,30,31,32,28,19,56,52,44,44,50,51,51,49,48,42,65088
52,30,31,28,31,30,27,30,31,30,29,47,57,43,37,35,41,45,47,56,40,62,61,63,56,57,55,60,63,55,60,37,31,33,24,26,28,30,31,32,28,54,56,52,44,44,50,51,51,49,48,75600
53,30,30,31,28,31,30,27,30,31,30,37,47,57,43,37,35,41,45,47,56,58,62,61,63,56,57,55,60,63,55,36,37,31,33,24,26,28,30,31,32,54,54,56,52,44,44,50,51,51,49,84655
54,31,30,30,31,28,31,30,27,30,31,29,37,47,57,43,37,35,41,45,47,50,58,62,61,63,56,57,55,60,63,28,36,37,31,33,24,26,28,30,31,51,54,54,56,52,44,44,50,51,51,81245
55,29,31,30,30,31,28,31,30,27,30,43,29,37,47,57,43,37,35,41,45,54,50,58,62,61,63,56,57,55,60,25,28,36,37,31,33,24,26,28,30,50,51,54,54,56,52,44,44,50,51,63677
56,30,29,31,30,30,31,28,31,30,27,43,43,29,37,47,57,43,37,35,41,57,54,50,58,62,61,63,56,57,55,29,25,28,36,37,31,33,24,26,28,47,50,51,54,54,56,52,44,44,50,66605
57,31,30,29,31,30,30,31,28,31,30,38,43,43,29,37,47,57,43,37,35,57,57,54,50,58,62,61,63,56,57,31,29,25,28,36,37,31,33,24,26,59,47,50,51,54,54,56,52,44,44,74069
58,33,31,30,29,31,30,30,31,28,31,40,38,43,43,29,37,47,57,43,37,65,57,57,54,50,58,62,61,63,56,33,31,29,25,28,36,37,31,33,24,58,59,47,50,51,54,54,56,52,44,84870
59,29,33,31,30,29,31,30,30,31,28,37,40,38,43,43,29,37,47,57,43,64,65,57,57,54,50,58,62,61,63,34,33,31,29,25,28,36,37,31,33,63,58,59,47,50,51,54,54,56,52,91745
60,33,29,33,31,30,29,31,30,30,31,45,37,40,38,43,43,29,37,47,57,67,64,65,57,57,54,50,58,62,61,35,34,33,31,29,25,28,36,37,31,60,63,58,59,47,50,51,54,54,56,99762
